Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0xf977814e90da44bfa03b6295a0616a897441acec","ClanScott1","67,732.75980608","11.1955%","$234,587,469.72"
"2","0xc882b111a75c0c657fc507c04fbfcd2cc984f071","","64,014.917530903283020889","10.5810%","$221,710,994.37"
"3","0x98b4be9c7a32a5d3befb08bb98d65e6d204f7e98","","49,521.8076809","8.1854%","$171,515,166.27"
"4","0x5a52e96bacdabb82fd05763e25335261b270efcb","Binance: Hot Wallet 22","45,310.50188631","7.4893%","$156,929,616.04"
"5","0x0000000000000000000000000000000000001004","BSC: Token Hub","33,257.773943721276713588","5.4972%","$115,185,872.54"
"6","0x2170ed0880ac9a755fd29b2688956bd959f933f8","ClanScott1","31,015.161727772606040456","5.1265%","$107,418,748.82"
"7","0x058a871358c1b01039a265635ea282c3f435a9ed","","23,954.1945036","3.9594%","$82,963,604.23"
"8","0x8894e0a0c962cb723c1976a4421c95949be2d4e3","Binance: Hot Wallet 6","21,196.447119133733606442","3.5035%","$73,412,347.45"
"9","0xf508fcd89b8bd15579dc79a6827cb4686a3592c8","Venus: vETH Token","20,307.638595011035616506","3.3566%","$70,334,024.00"
"10","0x21d45650db732ce5df77685d6021d7d5d1da807f","","13,285.196479144576197044","2.1959%","$46,012,308.31"
"11","0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","12,633.994834729651694148","2.0883%","$43,756,918.95"
"12","0xe2fc31f816a9b94326492132018c3aecc4a93ae1","Binance: Hot Wallet 7","7,241.518609435672303628","1.1969%","$25,080,471.14"
"13","0xd4dca84e1808da3354924cd243c66828cf775470","","4,771.160635544131111478","0.7886%","$16,524,566.61"
"14","0x174ca62427d18b317b4226342db9e309c0fbd841","","3,749.999791","0.6198%","$12,987,850.56"
"15","0x835678a611b28684005a5e2233695fb6cbbb0007","","3,354","0.5544%","$11,616,334.19"
"16","0x3dd878a95dcaef2800cd57bb065b5e8f2f438131","MaskEX 3","3,000.999200000006741078","0.4960%","$10,393,741.68"
"17","0xa230805c28121cc97b348f8209c79bebea3839c0","","2,776.880668206991987098","0.4590%","$9,617,523.51"
"18","0x0d0707963952f2fba59dd06f2b425ace40b492fe","Gate.io","2,683.517075184948341112","0.4436%","$9,294,165.52"
"19","0xc5423dbba0905acf50d4bc57955a610836ea8fb9","","2,663.000000000000262144","0.4402%","$9,223,106.13"
"20","0x54aecdbaf106a769076a4ee7571f3a1cd9272b54","","1,827.560168515291219506","0.3021%","$6,329,621.25"
"21","0xa22e726e3d0ad73df1982e15e3223effda0dade0","","1,626.235590391350605974","0.2688%","$5,632,348.27"
"22","0x4bba1018b967e59220b22ca03f68821a3276c9a6","","1,619.919298785284255543","0.2678%","$5,610,472.25"
